Point ID,Points_0,Points_1,Points_2,Points_Magnitude
644,0.78804117,0.78804117,-1.7498029E-16,1.1144585
366,0.97052181,0.97052181,-2.1549913E-16,1.3725251
364,1.190334,1.190334,-2.6430723E-16,1.6833864
362,1.461707,1.461707,-3.2456415E-16,2.0671659
360,1.7967354,1.7967354,-3.989554E-16,2.5409676
358,2.2103508,2.2103508,-4.9079646E-16,3.125908
356,2.7209868,2.7209868,-6.0418045E-16,3.8480565
354,3.351402,3.351402,-7.4416074E-16,4.7395982
352,4.1296921,4.1296921,-9.1697585E-16,5.8402665
350,5.0905442,5.0905442,-1.1303279E-15,7.1991167
348,6.2767816,6.2767816,-1.3937255E-15,8.8767096
346,7.7412715,7.7412715,-1.7189076E-15,10.947811
344,9.549284,9.549284,-2.120367E-15,13.504727
206,12.405777,12.405777,-2.7546358E-15,17.544418
204,16.004126,16.004126,-3.5536297E-15,22.633251
202,19.602476,19.602476,-4.3526241E-15,27.722088
